Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,1.07E-21,0,1.08E-21
0.1,2.15E-21,0.1,2.15E-21
0.2,2.15E-21,0.2,2.15E-21
0.3,2.15E-21,0.3,2.15E-21
0.4,2.15E-21,0.4,2.15E-21
0.5,2.15E-21,0.5,2.15E-21
0.6,2.15E-21,0.6,2.15E-21
0.7,2.15E-21,0.7,2.15E-21
0.8,2.15E-21,0.8,2.15E-21
0.9,2.15E-21,0.9,2.16E-21
1,2.15E-21,1,2.16E-21
1.1,2.15E-21,1.1,2.16E-21
1.2,2.15E-21,1.2,2.16E-21
1.3,2.15E-21,1.3,2.16E-21
1.4,2.15E-21,1.4,2.16E-21
1.5,2.16E-21,1.5,2.16E-21
1.6,2.16E-21,1.6,2.16E-21
1.7,2.16E-21,1.7,2.16E-21
1.8,2.16E-21,1.8,2.17E-21
1.9,2.16E-21,1.9,2.17E-21
2,2.16E-21,2,2.17E-21
2.1,2.16E-21,2.1,2.17E-21
2.2,2.17E-21,2.2,2.17E-21
2.3,2.17E-21,2.3,2.17E-21
2.4,2.17E-21,2.4,2.18E-21
2.5,2.17E-21,2.5,2.18E-21
2.6,2.17E-21,2.6,2.18E-21
2.7,2.18E-21,2.7,2.18E-21
2.8,2.18E-21,2.8,2.18E-21
2.9,2.18E-21,2.9,2.19E-21
3,2.18E-21,3,2.19E-21
3.1,2.19E-21,3.1,2.19E-21
3.2,2.19E-21,3.2,2.19E-21
3.3,2.19E-21,3.3,2.20E-21
3.4,2.19E-21,3.4,2.20E-21
3.5,2.20E-21,3.5,2.20E-21
3.6,2.20E-21,3.6,2.21E-21
3.7,2.20E-21,3.7,2.21E-21
3.8,2.21E-21,3.8,2.21E-21
3.9,2.21E-21,3.9,2.22E-21
4,2.21E-21,4,2.22E-21
4.1,2.22E-21,4.1,2.22E-21
4.2,2.22E-21,4.2,2.23E-21
4.3,2.22E-21,4.3,2.23E-21
4.4,2.23E-21,4.4,2.23E-21
4.5,2.23E-21,4.5,2.24E-21
4.6,2.23E-21,4.6,2.24E-21
4.7,2.24E-21,4.7,2.24E-21
4.8,2.24E-21,4.8,2.25E-21
4.9,2.25E-21,4.9,2.25E-21
5,2.25E-21,5,2.26E-21
5.1,2.26E-21,5.1,2.26E-21
5.2,2.26E-21,5.2,2.27E-21
5.3,2.26E-21,5.3,2.27E-21
5.4,2.27E-21,5.4,2.28E-21
