Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,8.47E-23,0,8.50E-23
0.1,1.69E-22,0.1,1.70E-22
0.2,1.69E-22,0.2,1.70E-22
0.3,1.69E-22,0.3,1.70E-22
0.4,1.69E-22,0.4,1.70E-22
0.5,1.69E-22,0.5,1.70E-22
0.6,1.69E-22,0.6,1.70E-22
0.7,1.69E-22,0.7,1.70E-22
0.8,1.70E-22,0.8,1.70E-22
0.9,1.70E-22,0.9,1.70E-22
1,1.70E-22,1,1.70E-22
1.1,1.70E-22,1.1,1.70E-22
1.2,1.70E-22,1.2,1.70E-22
1.3,1.70E-22,1.3,1.70E-22
1.4,1.70E-22,1.4,1.70E-22
1.5,1.70E-22,1.5,1.70E-22
1.6,1.70E-22,1.6,1.70E-22
1.7,1.70E-22,1.7,1.71E-22
1.8,1.70E-22,1.8,1.71E-22
1.9,1.70E-22,1.9,1.71E-22
2,1.70E-22,2,1.71E-22
2.1,1.70E-22,2.1,1.71E-22
2.2,1.70E-22,2.2,1.71E-22
2.3,1.70E-22,2.3,1.71E-22
2.4,1.70E-22,2.4,1.71E-22
2.5,1.71E-22,2.5,1.71E-22
2.6,1.71E-22,2.6,1.71E-22
2.7,1.71E-22,2.7,1.71E-22
2.8,1.71E-22,2.8,1.71E-22
2.9,1.71E-22,2.9,1.72E-22
3,1.71E-22,3,1.72E-22
3.1,1.71E-22,3.1,1.72E-22
3.2,1.71E-22,3.2,1.72E-22
3.3,1.71E-22,3.3,1.72E-22
3.4,1.72E-22,3.4,1.72E-22
3.5,1.72E-22,3.5,1.72E-22
3.6,1.72E-22,3.6,1.72E-22
3.7,1.72E-22,3.7,1.73E-22
3.8,1.72E-22,3.8,1.73E-22
3.9,1.72E-22,3.9,1.73E-22
4,1.72E-22,4,1.73E-22
4.1,1.72E-22,4.1,1.73E-22
4.2,1.73E-22,4.2,1.73E-22
4.3,1.73E-22,4.3,1.73E-22
4.4,1.73E-22,4.4,1.74E-22
4.5,1.73E-22,4.5,1.74E-22
4.6,1.73E-22,4.6,1.74E-22
4.7,1.73E-22,4.7,1.74E-22
4.8,1.74E-22,4.8,1.74E-22
4.9,1.74E-22,4.9,1.74E-22
5,1.74E-22,5,1.75E-22
5.1,1.74E-22,5.1,1.75E-22
5.2,1.74E-22,5.2,1.75E-22
5.3,1.75E-22,5.3,1.75E-22
5.4,1.75E-22,5.4,1.75E-22
5.5,1.75E-22,5.5,1.76E-22
5.6,1.75E-22,5.6,1.76E-22
5.7,1.75E-22,5.7,1.76E-22
5.8,1.76E-22,5.8,1.76E-22
