Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,5.67E-22,0,5.66E-22
0.1,1.13E-21,0.1,1.13E-21
0.2,1.13E-21,0.2,1.13E-21
0.3,1.13E-21,0.3,1.13E-21
0.4,1.13E-21,0.4,1.13E-21
0.5,1.13E-21,0.5,1.13E-21
0.6,1.14E-21,0.6,1.14E-21
0.7,1.14E-21,0.7,1.14E-21
0.8,1.14E-21,0.8,1.14E-21
0.9,1.14E-21,0.9,1.14E-21
1,1.14E-21,1,1.14E-21
1.1,1.14E-21,1.1,1.14E-21
1.2,1.14E-21,1.2,1.14E-21
1.3,1.15E-21,1.3,1.15E-21
1.4,1.15E-21,1.4,1.15E-21
1.5,1.15E-21,1.5,1.15E-21
1.6,1.15E-21,1.6,1.15E-21
1.7,1.15E-21,1.7,1.15E-21
1.8,1.16E-21,1.8,1.16E-21
1.9,1.16E-21,1.9,1.16E-21
2,1.16E-21,2,1.16E-21
2.1,1.17E-21,2.1,1.17E-21
2.2,1.17E-21,2.2,1.17E-21
2.3,1.17E-21,2.3,1.17E-21
2.4,1.18E-21,2.4,1.18E-21
2.5,1.18E-21,2.5,1.18E-21
2.6,1.18E-21,2.6,1.18E-21
2.7,1.19E-21,2.7,1.19E-21
2.8,1.19E-21,2.8,1.19E-21
2.9,1.20E-21,2.9,1.20E-21
3,1.20E-21,3,1.20E-21
3.1,1.20E-21,3.1,1.20E-21
3.2,1.21E-21,3.2,1.21E-21
3.3,1.21E-21,3.3,1.21E-21
3.4,1.22E-21,3.4,1.22E-21
3.5,1.22E-21,3.5,1.22E-21
3.6,1.23E-21,3.6,1.23E-21
3.7,1.24E-21,3.7,1.23E-21
3.8,1.24E-21,3.8,1.24E-21
3.9,1.25E-21,3.9,1.25E-21
4,1.25E-21,4,1.25E-21
4.1,1.26E-21,4.1,1.26E-21
4.2,1.27E-21,4.2,1.26E-21
4.3,1.27E-21,4.3,1.27E-21
4.4,1.28E-21,4.4,1.28E-21
4.5,1.28E-21,4.5,1.28E-21
4.6,1.29E-21,4.6,1.29E-21
4.7,1.30E-21,4.7,1.30E-21
4.8,1.31E-21,4.8,1.31E-21
4.9,1.31E-21,4.9,1.31E-21
5,1.32E-21,5,1.32E-21
5.1,1.33E-21,5.1,1.33E-21
5.2,1.34E-21,5.2,1.34E-21
5.3,1.34E-21,5.3,1.34E-21
5.4,1.35E-21,5.4,1.35E-21
5.5,1.36E-21,5.5,1.36E-21
5.6,1.37E-21,5.6,1.37E-21
5.7,1.38E-21,5.7,1.38E-21
5.8,1.39E-21,5.8,1.39E-21
5.9,1.40E-21,5.9,1.40E-21
6,1.41E-21,6,1.41E-21
6.1,1.42E-21,6.1,1.42E-21
6.2,1.43E-21,6.2,1.43E-21
6.3,1.44E-21,6.3,1.43E-21
6.4,1.45E-21,6.4,1.44E-21
6.5,1.46E-21,6.5,1.46E-21
6.6,1.47E-21,6.6,1.47E-21
6.7,1.48E-21,6.7,1.48E-21
6.8,1.49E-21,6.8,1.49E-21
6.9,1.50E-21,6.9,1.50E-21
7,1.51E-21,7,1.51E-21
7.1,1.52E-21,7.1,1.52E-21
7.2,1.53E-21,7.2,1.53E-21
7.3,1.54E-21,7.3,1.54E-21
7.4,1.55E-21,7.4,1.55E-21
7.5,1.57E-21,7.5,1.57E-21
7.6,1.58E-21,7.6,1.58E-21
7.7,1.59E-21,7.7,1.59E-21
7.8,1.60E-21,7.8,1.60E-21
7.9,1.62E-21,7.9,1.62E-21
8,1.63E-21,8,1.63E-21
8.1,1.64E-21,8.1,1.64E-21
8.2,1.66E-21,8.2,1.66E-21
8.3,1.67E-21,8.3,1.67E-21
8.4,1.68E-21,8.4,1.68E-21
8.5,1.70E-21,8.5,1.70E-21
8.6,1.71E-21,8.6,1.71E-21
8.7,1.73E-21,8.7,1.73E-21
8.8,1.74E-21,8.8,1.74E-21
8.9,1.75E-21,8.9,1.75E-21
9,1.77E-21,9,1.77E-21
9.1,1.78E-21,9.1,1.78E-21
9.2,1.80E-21,9.2,1.80E-21
9.3,1.82E-21,9.3,1.82E-21
9.4,1.83E-21,9.4,1.83E-21
9.5,1.85E-21,9.5,1.85E-21
9.6,1.86E-21,9.6,1.86E-21
9.7,1.88E-21,9.7,1.88E-21
9.8,1.90E-21,9.8,1.90E-21
9.9,1.91E-21,9.9,1.91E-21
10,1.93E-21,10,1.93E-21
10.1,1.95E-21,10.1,1.95E-21
10.2,1.97E-21,10.2,1.97E-21
10.3,1.98E-21,10.3,1.98E-21
