Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,2.02E-22,0,2.03E-22
0.1,4.05E-22,0.1,4.07E-22
0.2,4.05E-22,0.2,4.07E-22
0.3,4.05E-22,0.3,4.07E-22
0.4,4.05E-22,0.4,4.07E-22
0.5,4.05E-22,0.5,4.07E-22
0.6,4.05E-22,0.6,4.07E-22
0.7,4.05E-22,0.7,4.07E-22
0.8,4.05E-22,0.8,4.07E-22
0.9,4.05E-22,0.9,4.07E-22
1,4.06E-22,1,4.08E-22
1.1,4.06E-22,1.1,4.08E-22
1.2,4.06E-22,1.2,4.08E-22
1.3,4.06E-22,1.3,4.08E-22
1.4,4.06E-22,1.4,4.08E-22
1.5,4.06E-22,1.5,4.08E-22
1.6,4.07E-22,1.6,4.09E-22
1.7,4.07E-22,1.7,4.09E-22
1.8,4.07E-22,1.8,4.09E-22
1.9,4.07E-22,1.9,4.09E-22
2,4.08E-22,2,4.10E-22
2.1,4.08E-22,2.1,4.10E-22
2.2,4.08E-22,2.2,4.10E-22
2.3,4.08E-22,2.3,4.10E-22
2.4,4.09E-22,2.4,4.11E-22
2.5,4.09E-22,2.5,4.11E-22
2.6,4.09E-22,2.6,4.11E-22
2.7,4.10E-22,2.7,4.12E-22
2.8,4.10E-22,2.8,4.12E-22
2.9,4.11E-22,2.9,4.13E-22
3,4.11E-22,3,4.13E-22
3.1,4.11E-22,3.1,4.13E-22
3.2,4.12E-22,3.2,4.14E-22
3.3,4.12E-22,3.3,4.14E-22
3.4,4.13E-22,3.4,4.15E-22
3.5,4.13E-22,3.5,4.15E-22
3.6,4.14E-22,3.6,4.16E-22
3.7,4.14E-22,3.7,4.16E-22
3.8,4.15E-22,3.8,4.17E-22
3.9,4.15E-22,3.9,4.17E-22
4,4.16E-22,4,4.18E-22
4.1,4.16E-22,4.1,4.18E-22
4.2,4.17E-22,4.2,4.19E-22
4.3,4.17E-22,4.3,4.19E-22
4.4,4.18E-22,4.4,4.20E-22
4.5,4.19E-22,4.5,4.21E-22
4.6,4.19E-22,4.6,4.21E-22
4.7,4.20E-22,4.7,4.22E-22
4.8,4.21E-22,4.8,4.23E-22
4.9,4.21E-22,4.9,4.23E-22
5,4.22E-22,5,4.24E-22
5.1,4.23E-22,5.1,4.25E-22
5.2,4.23E-22,5.2,4.25E-22
5.3,4.24E-22,5.3,4.26E-22
5.4,4.25E-22,5.4,4.27E-22
5.5,4.26E-22,5.5,4.28E-22
5.6,4.26E-22,5.6,4.28E-22
5.7,4.27E-22,5.7,4.29E-22
5.8,4.28E-22,5.8,4.30E-22
5.9,4.29E-22,5.9,4.31E-22
6,4.30E-22,6,4.32E-22
6.1,4.30E-22,6.1,4.33E-22
6.2,4.31E-22,6.2,4.33E-22
6.3,4.32E-22,6.3,4.34E-22
6.4,4.33E-22,6.4,4.35E-22
6.5,4.34E-22,6.5,4.36E-22
6.6,4.35E-22,6.6,4.37E-22
6.7,4.36E-22,6.7,4.38E-22
6.8,4.37E-22,6.8,4.39E-22
6.9,4.38E-22,6.9,4.40E-22
7,4.39E-22,7,4.41E-22
7.1,4.40E-22,7.1,4.42E-22
7.2,4.41E-22,7.2,4.43E-22
7.3,4.42E-22,7.3,4.44E-22
7.4,4.43E-22,7.4,4.45E-22
7.5,4.44E-22,7.5,4.46E-22
7.6,4.45E-22,7.6,4.47E-22
7.7,4.46E-22,7.7,4.48E-22
7.8,4.47E-22,7.8,4.50E-22
7.9,4.49E-22,7.9,4.51E-22
8,4.50E-22,8,4.52E-22
8.1,4.51E-22,8.1,4.53E-22
8.2,4.52E-22,8.2,4.54E-22
8.3,4.53E-22,8.3,4.56E-22
8.4,4.55E-22,8.4,4.57E-22
8.5,4.56E-22,8.5,4.58E-22
8.6,4.57E-22,8.6,4.59E-22
8.7,4.58E-22,8.7,4.61E-22
8.8,4.60E-22,8.8,4.62E-22
8.9,4.61E-22,8.9,4.63E-22
9,4.62E-22,9,4.65E-22
9.1,4.64E-22,9.1,4.66E-22
9.2,4.65E-22,9.2,4.67E-22
9.3,4.67E-22,9.3,4.69E-22
9.4,4.68E-22,9.4,4.70E-22
9.5,4.69E-22,9.5,4.72E-22
9.6,4.71E-22,9.6,4.73E-22
9.7,4.72E-22,9.7,4.75E-22
9.8,4.74E-22,9.8,4.76E-22
9.9,4.75E-22,9.9,4.78E-22
10,4.77E-22,10,4.79E-22
10.1,4.78E-22,10.1,4.81E-22
10.2,4.80E-22,10.2,4.82E-22
10.3,4.82E-22,10.3,4.84E-22
10.4,4.83E-22,10.4,4.86E-22
10.5,4.85E-22,10.5,4.87E-22
10.6,4.87E-22,10.6,4.89E-22
10.7,4.88E-22,10.7,4.91E-22
10.8,4.90E-22,10.8,4.92E-22
10.9,4.92E-22,10.9,4.94E-22
11,4.93E-22,11,4.96E-22
11.1,4.95E-22,11.1,4.98E-22
11.2,4.97E-22,11.2,4.99E-22
11.3,4.99E-22,11.3,5.01E-22
11.4,5.01E-22,11.4,5.03E-22
11.5,5.02E-22,11.5,5.05E-22
11.6,5.04E-22,11.6,5.07E-22
11.7,5.06E-22,11.7,5.09E-22
11.8,5.08E-22,11.8,5.11E-22
11.9,5.10E-22,11.9,5.13E-22
12,5.12E-22,12,5.14E-22
12.1,5.14E-22,12.1,5.16E-22
12.2,5.16E-22,12.2,5.19E-22
12.3,5.18E-22,12.3,5.21E-22
12.4,5.20E-22,12.4,5.23E-22
12.5,5.22E-22,12.5,5.25E-22
12.6,5.24E-22,12.6,5.27E-22
12.7,5.27E-22,12.7,5.29E-22
12.8,5.29E-22,12.8,5.31E-22
12.9,5.31E-22,12.9,5.33E-22
13,5.33E-22,13,5.36E-22
13.1,5.35E-22,13.1,5.38E-22
13.2,5.38E-22,13.2,5.40E-22
13.3,5.40E-22,13.3,5.42E-22
13.4,5.42E-22,13.4,5.45E-22
13.5,5.45E-22,13.5,5.47E-22
13.6,5.47E-22,13.6,5.49E-22
13.7,5.49E-22,13.7,5.52E-22
13.8,5.52E-22,13.8,5.54E-22
13.9,5.54E-22,13.9,5.57E-22
14,5.57E-22,14,5.59E-22
14.1,5.59E-22,14.1,5.62E-22
14.2,5.62E-22,14.2,5.64E-22
14.3,5.64E-22,14.3,5.67E-22
14.4,5.67E-22,14.4,5.69E-22
14.5,5.69E-22,14.5,5.72E-22
14.6,5.72E-22,14.6,5.75E-22
14.7,5.75E-22,14.7,5.77E-22
14.8,5.78E-22,14.8,5.80E-22
14.9,5.80E-22,14.9,5.83E-22
15,5.83E-22,15,5.86E-22
15.1,5.86E-22,15.1,5.88E-22
15.2,5.89E-22,15.2,5.91E-22
15.3,5.92E-22,15.3,5.94E-22
15.4,5.94E-22,15.4,5.97E-22
15.5,5.97E-22,15.5,6.00E-22
15.6,6.00E-22,15.6,6.03E-22
15.7,6.03E-22,15.7,6.06E-22
15.8,6.06E-22,15.8,6.09E-22
15.9,6.09E-22,15.9,6.12E-22
16,6.12E-22,16,6.15E-22
16.1,6.16E-22,16.1,6.18E-22
16.2,6.19E-22,16.2,6.21E-22
16.3,6.22E-22,16.3,6.25E-22
16.4,6.25E-22,16.4,6.28E-22
16.5,6.28E-22,16.5,6.31E-22
16.6,6.32E-22,16.6,6.34E-22
16.7,6.35E-22,16.7,6.38E-22
16.8,6.38E-22,16.8,6.41E-22
16.9,6.42E-22,16.9,6.45E-22
17,6.45E-22,17,6.48E-22
17.1,6.49E-22,17.1,6.52E-22
17.2,6.52E-22,17.2,6.55E-22
17.3,6.56E-22,17.3,6.59E-22
17.4,6.59E-22,17.4,6.62E-22
17.5,6.63E-22,17.5,6.66E-22
17.6,6.67E-22,17.6,6.70E-22
17.7,6.70E-22,17.7,6.73E-22
17.8,6.74E-22,17.8,6.77E-22
17.9,6.78E-22,17.9,6.81E-22
18,6.82E-22,18,6.85E-22
