Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,1.22E-23,0,1.22E-23
0.1,2.43E-23,0.1,2.45E-23
0.2,2.43E-23,0.2,2.45E-23
0.3,2.43E-23,0.3,2.45E-23
0.4,2.43E-23,0.4,2.45E-23
0.5,2.43E-23,0.5,2.45E-23
0.6,2.43E-23,0.6,2.45E-23
0.7,2.44E-23,0.7,2.45E-23
0.8,2.44E-23,0.8,2.45E-23
0.9,2.44E-23,0.9,2.45E-23
1,2.44E-23,1,2.46E-23
1.1,2.44E-23,1.1,2.46E-23
1.2,2.44E-23,1.2,2.46E-23
1.3,2.44E-23,1.3,2.46E-23
1.4,2.45E-23,1.4,2.46E-23
1.5,2.45E-23,1.5,2.46E-23
1.6,2.45E-23,1.6,2.47E-23
1.7,2.45E-23,1.7,2.47E-23
1.8,2.46E-23,1.8,2.47E-23
1.9,2.46E-23,1.9,2.47E-23
2,2.46E-23,2,2.48E-23
2.1,2.46E-23,2.1,2.48E-23
2.2,2.47E-23,2.2,2.48E-23
2.3,2.47E-23,2.3,2.49E-23
2.4,2.47E-23,2.4,2.49E-23
2.5,2.48E-23,2.5,2.49E-23
2.6,2.48E-23,2.6,2.50E-23
2.7,2.49E-23,2.7,2.50E-23
2.8,2.49E-23,2.8,2.51E-23
2.9,2.49E-23,2.9,2.51E-23
3,2.50E-23,3,2.51E-23
3.1,2.50E-23,3.1,2.52E-23
3.2,2.51E-23,3.2,2.52E-23
3.3,2.51E-23,3.3,2.53E-23
3.4,2.52E-23,3.4,2.53E-23
3.5,2.52E-23,3.5,2.54E-23
3.6,2.53E-23,3.6,2.54E-23
3.7,2.53E-23,3.7,2.55E-23
3.8,2.54E-23,3.8,2.56E-23
3.9,2.54E-23,3.9,2.56E-23
4,2.55E-23,4,2.57E-23
4.1,2.56E-23,4.1,2.57E-23
4.2,2.56E-23,4.2,2.58E-23
4.3,2.57E-23,4.3,2.59E-23
4.4,2.58E-23,4.4,2.59E-23
4.5,2.58E-23,4.5,2.60E-23
4.6,2.59E-23,4.6,2.61E-23
4.7,2.60E-23,4.7,2.61E-23
4.8,2.60E-23,4.8,2.62E-23
4.9,2.61E-23,4.9,2.63E-23
5,2.62E-23,5,2.64E-23
5.1,2.63E-23,5.1,2.64E-23
5.2,2.64E-23,5.2,2.65E-23
5.3,2.64E-23,5.3,2.66E-23
5.4,2.65E-23,5.4,2.67E-23
5.5,2.66E-23,5.5,2.68E-23
5.6,2.67E-23,5.6,2.69E-23
5.7,2.68E-23,5.7,2.69E-23
5.8,2.69E-23,5.8,2.70E-23
5.9,2.70E-23,5.9,2.71E-23
6,2.71E-23,6,2.72E-23
6.1,2.71E-23,6.1,2.73E-23
6.2,2.72E-23,6.2,2.74E-23
6.3,2.73E-23,6.3,2.75E-23
6.4,2.74E-23,6.4,2.76E-23
6.5,2.76E-23,6.5,2.77E-23
6.6,2.77E-23,6.6,2.78E-23
6.7,2.78E-23,6.7,2.79E-23
6.8,2.79E-23,6.8,2.80E-23
6.9,2.80E-23,6.9,2.81E-23
7,2.81E-23,7,2.83E-23
7.1,2.82E-23,7.1,2.84E-23
7.2,2.83E-23,7.2,2.85E-23
7.3,2.84E-23,7.3,2.86E-23
7.4,2.86E-23,7.4,2.87E-23
