Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,2.14E-21,0,2.13E-21
0.1,4.27E-21,0.1,4.27E-21
0.2,4.27E-21,0.2,4.27E-21
0.3,4.28E-21,0.3,4.27E-21
0.4,4.28E-21,0.4,4.27E-21
0.5,4.28E-21,0.5,4.27E-21
0.6,4.28E-21,0.6,4.27E-21
0.7,4.28E-21,0.7,4.27E-21
0.8,4.28E-21,0.8,4.28E-21
0.9,4.28E-21,0.9,4.28E-21
1,4.29E-21,1,4.28E-21
1.1,4.29E-21,1.1,4.28E-21
1.2,4.29E-21,1.2,4.29E-21
1.3,4.29E-21,1.3,4.29E-21
1.4,4.30E-21,1.4,4.29E-21
1.5,4.30E-21,1.5,4.29E-21
1.6,4.30E-21,1.6,4.30E-21
1.7,4.31E-21,1.7,4.30E-21
1.8,4.31E-21,1.8,4.31E-21
1.9,4.32E-21,1.9,4.31E-21
2,4.32E-21,2,4.32E-21
2.1,4.33E-21,2.1,4.32E-21
2.2,4.33E-21,2.2,4.33E-21
2.3,4.34E-21,2.3,4.33E-21
2.4,4.34E-21,2.4,4.34E-21
2.5,4.35E-21,2.5,4.34E-21
2.6,4.35E-21,2.6,4.35E-21
2.7,4.36E-21,2.7,4.35E-21
2.8,4.37E-21,2.8,4.36E-21
2.9,4.37E-21,2.9,4.37E-21
3,4.38E-21,3,4.38E-21
3.1,4.39E-21,3.1,4.38E-21
3.2,4.40E-21,3.2,4.39E-21
3.3,4.40E-21,3.3,4.40E-21
3.4,4.41E-21,3.4,4.41E-21
3.5,4.42E-21,3.5,4.41E-21
3.6,4.43E-21,3.6,4.42E-21
3.7,4.44E-21,3.7,4.43E-21
3.8,4.45E-21,3.8,4.44E-21
3.9,4.46E-21,3.9,4.45E-21
4,4.47E-21,4,4.46E-21
4.1,4.48E-21,4.1,4.47E-21
4.2,4.49E-21,4.2,4.48E-21
4.3,4.50E-21,4.3,4.49E-21
