Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,7.32E-24,0,7.32E-24
0.1,1.46E-23,0.1,1.46E-23
0.2,1.47E-23,0.2,1.47E-23
0.3,1.47E-23,0.3,1.47E-23
0.4,1.47E-23,0.4,1.47E-23
0.5,1.47E-23,0.5,1.47E-23
0.6,1.47E-23,0.6,1.47E-23
0.7,1.48E-23,0.7,1.48E-23
0.8,1.48E-23,0.8,1.48E-23
0.9,1.48E-23,0.9,1.48E-23
1,1.49E-23,1,1.49E-23
1.1,1.49E-23,1.1,1.49E-23
1.2,1.50E-23,1.2,1.50E-23
1.3,1.51E-23,1.3,1.51E-23
1.4,1.51E-23,1.4,1.51E-23
1.5,1.52E-23,1.5,1.52E-23
1.6,1.53E-23,1.6,1.53E-23
1.7,1.54E-23,1.7,1.54E-23
1.8,1.54E-23,1.8,1.54E-23
1.9,1.55E-23,1.9,1.55E-23
2,1.56E-23,2,1.56E-23
2.1,1.57E-23,2.1,1.57E-23
2.2,1.58E-23,2.2,1.58E-23
2.3,1.59E-23,2.3,1.59E-23
2.4,1.61E-23,2.4,1.61E-23
2.5,1.62E-23,2.5,1.62E-23
2.6,1.63E-23,2.6,1.63E-23
2.7,1.64E-23,2.7,1.64E-23
2.8,1.66E-23,2.8,1.66E-23
2.9,1.67E-23,2.9,1.67E-23
3,1.68E-23,3,1.69E-23
3.1,1.70E-23,3.1,1.70E-23
3.2,1.72E-23,3.2,1.72E-23
3.3,1.73E-23,3.3,1.73E-23
3.4,1.75E-23,3.4,1.75E-23
3.5,1.76E-23,3.5,1.77E-23
3.6,1.78E-23,3.6,1.78E-23
3.7,1.80E-23,3.7,1.80E-23
3.8,1.82E-23,3.8,1.82E-23
3.9,1.84E-23,3.9,1.84E-23
4,1.86E-23,4,1.86E-23
4.1,1.88E-23,4.1,1.88E-23
4.2,1.90E-23,4.2,1.90E-23
4.3,1.92E-23,4.3,1.92E-23
4.4,1.94E-23,4.4,1.94E-23
4.5,1.96E-23,4.5,1.96E-23
4.6,1.99E-23,4.6,1.99E-23
4.7,2.01E-23,4.7,2.01E-23
4.8,2.03E-23,4.8,2.03E-23
4.9,2.06E-23,4.9,2.06E-23
5,2.08E-23,5,2.08E-23
5.1,2.11E-23,5.1,2.11E-23
5.2,2.13E-23,5.2,2.13E-23
5.3,2.16E-23,5.3,2.16E-23
5.4,2.18E-23,5.4,2.19E-23
5.5,2.21E-23,5.5,2.21E-23
5.6,2.24E-23,5.6,2.24E-23
5.7,2.27E-23,5.7,2.27E-23
5.8,2.30E-23,5.8,2.30E-23
5.9,2.33E-23,5.9,2.33E-23
6,2.36E-23,6,2.36E-23
6.1,2.39E-23,6.1,2.39E-23
6.2,2.42E-23,6.2,2.42E-23
6.3,2.45E-23,6.3,2.45E-23
6.4,2.48E-23,6.4,2.48E-23
6.5,2.51E-23,6.5,2.52E-23
6.6,2.55E-23,6.6,2.55E-23
6.7,2.58E-23,6.7,2.58E-23
6.8,2.61E-23,6.8,2.62E-23
6.9,2.65E-23,6.9,2.65E-23
7,2.68E-23,7,2.69E-23
7.1,2.72E-23,7.1,2.72E-23
