Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,2.45E-23,0,2.43E-23
0.1,4.90E-23,0.1,4.87E-23
0.2,4.93E-23,0.2,4.89E-23
0.3,4.96E-23,0.3,4.92E-23
0.4,5.02E-23,0.4,4.98E-23
0.5,5.08E-23,0.5,5.04E-23
0.6,5.16E-23,0.6,5.12E-23
0.7,5.26E-23,0.7,5.22E-23
0.8,5.37E-23,0.8,5.33E-23
0.9,5.50E-23,0.9,5.46E-23
1,5.64E-23,1,5.60E-23
1.1,5.79E-23,1.1,5.75E-23
1.2,5.96E-23,1.2,5.92E-23
1.3,6.15E-23,1.3,6.11E-23
1.4,6.35E-23,1.4,6.31E-23
1.5,6.56E-23,1.5,6.52E-23
1.6,6.79E-23,1.6,6.75E-23
1.7,7.03E-23,1.7,7.00E-23
1.8,7.29E-23,1.8,7.26E-23
1.9,7.57E-23,1.9,7.53E-23
2,7.86E-23,2,7.82E-23
2.1,8.16E-23,2.1,8.12E-23
2.2,8.48E-23,2.2,8.44E-23
2.3,8.82E-23,2.3,8.78E-23
2.4,9.17E-23,2.4,9.13E-23
2.5,9.53E-23,2.5,9.49E-23
2.6,9.91E-23,2.6,9.87E-23
2.7,1.03E-22,2.7,1.03E-22
2.8,1.07E-22,2.8,1.07E-22
2.9,1.11E-22,2.9,1.11E-22
3,1.16E-22,3,1.15E-22
3.1,1.20E-22,3.1,1.20E-22
3.2,1.25E-22,3.2,1.25E-22
3.3,1.30E-22,3.3,1.30E-22
3.4,1.35E-22,3.4,1.35E-22
3.5,1.40E-22,3.5,1.40E-22
3.6,1.46E-22,3.6,1.45E-22
3.7,1.51E-22,3.7,1.51E-22
3.8,1.57E-22,3.8,1.56E-22
3.9,1.63E-22,3.9,1.62E-22
4,1.69E-22,4,1.68E-22
4.1,1.75E-22,4.1,1.74E-22
4.2,1.81E-22,4.2,1.81E-22
4.3,1.88E-22,4.3,1.87E-22
4.4,1.94E-22,4.4,1.94E-22
4.5,2.01E-22,4.5,2.01E-22
4.6,2.08E-22,4.6,2.08E-22
4.7,2.15E-22,4.7,2.15E-22
4.8,2.22E-22,4.8,2.22E-22
4.9,2.30E-22,4.9,2.29E-22
5,2.37E-22,5,2.37E-22
5.1,2.45E-22,5.1,2.45E-22
5.2,2.53E-22,5.2,2.53E-22
5.3,2.61E-22,5.3,2.61E-22
5.4,2.70E-22,5.4,2.69E-22
5.5,2.78E-22,5.5,2.78E-22
5.6,2.87E-22,5.6,2.86E-22
5.7,2.95E-22,5.7,2.95E-22
5.8,3.04E-22,5.8,3.04E-22
5.9,3.14E-22,5.9,3.13E-22
6,3.23E-22,6,3.23E-22
6.1,3.32E-22,6.1,3.32E-22
6.2,3.42E-22,6.2,3.42E-22
6.3,3.52E-22,6.3,3.52E-22
6.4,3.62E-22,6.4,3.62E-22
6.5,3.72E-22,6.5,3.72E-22
6.6,3.83E-22,6.6,3.82E-22
6.7,3.93E-22,6.7,3.93E-22
6.8,4.04E-22,6.8,4.04E-22
6.9,4.15E-22,6.9,4.15E-22
7,4.26E-22,7,4.26E-22
7.1,4.37E-22,7.1,4.37E-22
7.2,4.49E-22,7.2,4.49E-22
7.3,4.61E-22,7.3,4.60E-22
7.4,4.72E-22,7.4,4.72E-22
7.5,4.85E-22,7.5,4.84E-22
7.6,4.97E-22,7.6,4.97E-22
7.7,5.09E-22,7.7,5.09E-22
7.8,5.22E-22,7.8,5.22E-22
7.9,5.35E-22,7.9,5.35E-22
8,5.48E-22,8,5.48E-22
8.1,5.61E-22,8.1,5.61E-22
8.2,5.75E-22,8.2,5.74E-22
8.3,5.88E-22,8.3,5.88E-22
8.4,6.02E-22,8.4,6.02E-22
8.5,6.16E-22,8.5,6.16E-22
8.6,6.31E-22,8.6,6.30E-22
8.7,6.45E-22,8.7,6.45E-22
8.8,6.60E-22,8.8,6.60E-22
8.9,6.75E-22,8.9,6.75E-22
9,6.90E-22,9,6.90E-22
9.1,7.05E-22,9.1,7.05E-22
9.2,7.21E-22,9.2,7.21E-22
9.3,7.37E-22,9.3,7.36E-22
9.4,7.53E-22,9.4,7.52E-22
9.5,7.69E-22,9.5,7.69E-22
9.6,7.85E-22,9.6,7.85E-22
9.7,8.02E-22,9.7,8.02E-22
9.8,8.19E-22,9.8,8.19E-22
9.9,8.36E-22,9.9,8.36E-22
10,8.53E-22,10,8.53E-22
10.1,8.71E-22,10.1,8.71E-22
10.2,8.89E-22,10.2,8.89E-22
10.3,9.07E-22,10.3,9.07E-22
10.4,9.25E-22,10.4,9.25E-22
10.5,9.44E-22,10.5,9.44E-22
10.6,9.63E-22,10.6,9.63E-22
10.7,9.82E-22,10.7,9.82E-22
10.8,1.00E-21,10.8,1.00E-21
10.9,1.02E-21,10.9,1.02E-21
11,1.04E-21,11,1.04E-21
11.1,1.06E-21,11.1,1.06E-21
11.2,1.08E-21,11.2,1.08E-21
11.3,1.10E-21,11.3,1.10E-21
11.4,1.12E-21,11.4,1.12E-21
11.5,1.14E-21,11.5,1.14E-21
11.6,1.16E-21,11.6,1.16E-21
11.7,1.19E-21,11.7,1.19E-21
11.8,1.21E-21,11.8,1.21E-21
11.9,1.23E-21,11.9,1.23E-21
12,1.25E-21,12,1.25E-21
12.1,1.28E-21,12.1,1.28E-21
12.2,1.30E-21,12.2,1.30E-21
12.3,1.32E-21,12.3,1.32E-21
12.4,1.35E-21,12.4,1.35E-21
12.5,1.37E-21,12.5,1.37E-21
12.6,1.39E-21,12.6,1.39E-21
12.7,1.42E-21,12.7,1.42E-21
12.8,1.44E-21,12.8,1.44E-21
12.9,1.47E-21,12.9,1.47E-21
13,1.49E-21,13,1.49E-21
13.1,1.52E-21,13.1,1.52E-21
13.2,1.55E-21,13.2,1.55E-21
13.3,1.57E-21,13.3,1.57E-21
13.4,1.60E-21,13.4,1.60E-21
13.5,1.63E-21,13.5,1.63E-21
13.6,1.65E-21,13.6,1.65E-21
13.7,1.68E-21,13.7,1.68E-21
13.8,1.71E-21,13.8,1.71E-21
13.9,1.74E-21,13.9,1.74E-21
14,1.76E-21,14,1.76E-21
14.1,1.79E-21,14.1,1.79E-21
14.2,1.82E-21,14.2,1.82E-21
14.3,1.85E-21,14.3,1.85E-21
14.4,1.88E-21,14.4,1.88E-21
14.5,1.91E-21,14.5,1.91E-21
14.6,1.94E-21,14.6,1.94E-21
14.7,1.97E-21,14.7,1.97E-21
14.8,2.01E-21,14.8,2.01E-21
14.9,2.04E-21,14.9,2.04E-21
15,2.07E-21,15,2.07E-21
15.1,2.10E-21,15.1,2.10E-21
15.2,2.14E-21,15.2,2.14E-21
15.3,2.17E-21,15.3,2.17E-21
15.4,2.20E-21,15.4,2.20E-21
15.5,2.24E-21,15.5,2.24E-21
15.6,2.27E-21,15.6,2.27E-21
15.7,2.31E-21,15.7,2.31E-21
15.8,2.34E-21,15.8,2.34E-21
15.9,2.38E-21,15.9,2.38E-21
16,2.41E-21,16,2.41E-21
16.1,2.45E-21,16.1,2.45E-21
16.2,2.49E-21,16.2,2.49E-21
16.3,2.52E-21,16.3,2.52E-21
16.4,2.56E-21,16.4,2.56E-21
16.5,2.60E-21,16.5,2.60E-21
16.6,2.64E-21,16.6,2.64E-21
16.7,2.68E-21,16.7,2.68E-21
16.8,2.72E-21,16.8,2.72E-21
16.9,2.76E-21,16.9,2.76E-21
17,2.80E-21,17,2.80E-21
17.1,2.84E-21,17.1,2.84E-21
17.2,2.88E-21,17.2,2.88E-21
17.3,2.92E-21,17.3,2.92E-21
17.4,2.96E-21,17.4,2.96E-21
17.5,3.01E-21,17.5,3.01E-21
17.6,3.05E-21,17.6,3.05E-21
17.7,3.09E-21,17.7,3.09E-21
