Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,1.07E-22,0,1.07E-22
0.1,2.13E-22,0.1,2.15E-22
0.2,2.13E-22,0.2,2.15E-22
0.3,2.14E-22,0.3,2.15E-22
0.4,2.14E-22,0.4,2.15E-22
0.5,2.14E-22,0.5,2.15E-22
0.6,2.14E-22,0.6,2.16E-22
0.7,2.15E-22,0.7,2.16E-22
0.8,2.15E-22,0.8,2.16E-22
0.9,2.16E-22,0.9,2.17E-22
1,2.16E-22,1,2.17E-22
1.1,2.17E-22,1.1,2.18E-22
1.2,2.17E-22,1.2,2.19E-22
1.3,2.18E-22,1.3,2.19E-22
1.4,2.19E-22,1.4,2.20E-22
1.5,2.20E-22,1.5,2.21E-22
1.6,2.20E-22,1.6,2.22E-22
1.7,2.21E-22,1.7,2.23E-22
1.8,2.22E-22,1.8,2.24E-22
1.9,2.23E-22,1.9,2.25E-22
2,2.24E-22,2,2.26E-22
2.1,2.26E-22,2.1,2.27E-22
2.2,2.27E-22,2.2,2.28E-22
2.3,2.28E-22,2.3,2.29E-22
2.4,2.29E-22,2.4,2.31E-22
2.5,2.31E-22,2.5,2.32E-22
2.6,2.32E-22,2.6,2.33E-22
2.7,2.33E-22,2.7,2.35E-22
2.8,2.35E-22,2.8,2.36E-22
2.9,2.37E-22,2.9,2.38E-22
3,2.38E-22,3,2.40E-22
3.1,2.40E-22,3.1,2.41E-22
3.2,2.42E-22,3.2,2.43E-22
3.3,2.44E-22,3.3,2.45E-22
3.4,2.45E-22,3.4,2.47E-22
3.5,2.47E-22,3.5,2.49E-22
3.6,2.49E-22,3.6,2.51E-22
3.7,2.51E-22,3.7,2.53E-22
3.8,2.53E-22,3.8,2.55E-22
3.9,2.56E-22,3.9,2.57E-22
4,2.58E-22,4,2.59E-22
4.1,2.60E-22,4.1,2.61E-22
4.2,2.63E-22,4.2,2.64E-22
4.3,2.65E-22,4.3,2.66E-22
4.4,2.67E-22,4.4,2.69E-22
4.5,2.70E-22,4.5,2.71E-22
4.6,2.72E-22,4.6,2.74E-22
4.7,2.75E-22,4.7,2.76E-22
4.8,2.78E-22,4.8,2.79E-22
4.9,2.81E-22,4.9,2.82E-22
5,2.83E-22,5,2.85E-22
5.1,2.86E-22,5.1,2.88E-22
5.2,2.89E-22,5.2,2.91E-22
5.3,2.92E-22,5.3,2.94E-22
5.4,2.95E-22,5.4,2.97E-22
5.5,2.98E-22,5.5,3.00E-22
5.6,3.02E-22,5.6,3.03E-22
5.7,3.05E-22,5.7,3.06E-22
5.8,3.08E-22,5.8,3.10E-22
5.9,3.12E-22,5.9,3.13E-22
6,3.15E-22,6,3.16E-22
6.1,3.19E-22,6.1,3.20E-22
6.2,3.22E-22,6.2,3.23E-22
6.3,3.26E-22,6.3,3.27E-22
6.4,3.30E-22,6.4,3.31E-22
6.5,3.33E-22,6.5,3.35E-22
6.6,3.37E-22,6.6,3.38E-22
6.7,3.41E-22,6.7,3.42E-22
6.8,3.45E-22,6.8,3.46E-22
6.9,3.49E-22,6.9,3.50E-22
7,3.53E-22,7,3.54E-22
7.1,3.57E-22,7.1,3.59E-22
7.2,3.62E-22,7.2,3.63E-22
7.3,3.66E-22,7.3,3.67E-22
7.4,3.70E-22,7.4,3.72E-22
7.5,3.75E-22,7.5,3.76E-22
7.6,3.79E-22,7.6,3.81E-22
7.7,3.84E-22,7.7,3.85E-22
7.8,3.89E-22,7.8,3.90E-22
7.9,3.93E-22,7.9,3.95E-22
8,3.98E-22,8,3.99E-22
8.1,4.03E-22,8.1,4.04E-22
8.2,4.08E-22,8.2,4.09E-22
8.3,4.13E-22,8.3,4.14E-22
8.4,4.18E-22,8.4,4.19E-22
8.5,4.23E-22,8.5,4.24E-22
8.6,4.28E-22,8.6,4.30E-22
8.7,4.34E-22,8.7,4.35E-22
8.8,4.39E-22,8.8,4.40E-22
8.9,4.45E-22,8.9,4.46E-22
9,4.50E-22,9,4.51E-22
9.1,4.56E-22,9.1,4.57E-22
9.2,4.62E-22,9.2,4.63E-22
