Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,5.16E-25,0,6.24E-25
0.1,1.04E-24,0.1,1.26E-24
0.2,1.07E-24,0.2,1.28E-24
0.3,1.11E-24,0.3,1.32E-24
0.4,1.17E-24,0.4,1.38E-24
0.5,1.24E-24,0.5,1.46E-24
0.6,1.34E-24,0.6,1.55E-24
0.7,1.45E-24,0.7,1.66E-24
0.8,1.57E-24,0.8,1.79E-24
0.9,1.72E-24,0.9,1.93E-24
1,1.88E-24,1,2.09E-24
1.1,2.06E-24,1.1,2.27E-24
1.2,2.25E-24,1.2,2.46E-24
1.3,2.47E-24,1.3,2.68E-24
1.4,2.70E-24,1.4,2.91E-24
1.5,2.94E-24,1.5,3.15E-24
1.6,3.21E-24,1.6,3.42E-24
1.7,3.49E-24,1.7,3.70E-24
1.8,3.79E-24,1.8,3.99E-24
1.9,4.11E-24,1.9,4.31E-24
2,4.44E-24,2,4.64E-24
2.1,4.80E-24,2.1,4.99E-24
2.2,5.17E-24,2.2,5.36E-24
2.3,5.55E-24,2.3,5.75E-24
2.4,5.96E-24,2.4,6.15E-24
2.5,6.38E-24,2.5,6.57E-24
2.6,6.83E-24,2.6,7.01E-24
2.7,7.29E-24,2.7,7.47E-24
2.8,7.76E-24,2.8,7.95E-24
2.9,8.26E-24,2.9,8.44E-24
3,8.78E-24,3,8.96E-24
3.1,9.31E-24,3.1,9.49E-24
3.2,9.86E-24,3.2,1.00E-23
3.3,1.04E-23,3.3,1.06E-23
3.4,1.10E-23,3.4,1.12E-23
3.5,1.16E-23,3.5,1.18E-23
3.6,1.23E-23,3.6,1.24E-23
3.7,1.29E-23,3.7,1.31E-23
3.8,1.36E-23,3.8,1.37E-23
3.9,1.43E-23,3.9,1.44E-23
4,1.50E-23,4,1.51E-23
4.1,1.57E-23,4.1,1.58E-23
4.2,1.65E-23,4.2,1.66E-23
4.3,1.72E-23,4.3,1.74E-23
4.4,1.80E-23,4.4,1.81E-23
4.5,1.88E-23,4.5,1.89E-23
4.6,1.96E-23,4.6,1.98E-23
4.7,2.05E-23,4.7,2.06E-23
4.8,2.14E-23,4.8,2.15E-23
4.9,2.23E-23,4.9,2.24E-23
5,2.32E-23,5,2.33E-23
5.1,2.41E-23,5.1,2.42E-23
5.2,2.51E-23,5.2,2.52E-23
5.3,2.61E-23,5.3,2.62E-23
5.4,2.71E-23,5.4,2.72E-23
5.5,2.81E-23,5.5,2.82E-23
5.6,2.91E-23,5.6,2.92E-23
5.7,3.02E-23,5.7,3.03E-23
5.8,3.13E-23,5.8,3.14E-23
5.9,3.24E-23,5.9,3.25E-23
6,3.36E-23,6,3.36E-23
6.1,3.47E-23,6.1,3.48E-23
6.2,3.59E-23,6.2,3.60E-23
6.3,3.71E-23,6.3,3.72E-23
6.4,3.84E-23,6.4,3.84E-23
6.5,3.96E-23,6.5,3.97E-23
6.6,4.09E-23,6.6,4.10E-23
6.7,4.23E-23,6.7,4.23E-23
6.8,4.36E-23,6.8,4.36E-23
6.9,4.50E-23,6.9,4.50E-23
7,4.64E-23,7,4.64E-23
7.1,4.78E-23,7.1,4.78E-23
7.2,4.92E-23,7.2,4.92E-23
7.3,5.07E-23,7.3,5.07E-23
7.4,5.22E-23,7.4,5.22E-23
7.5,5.38E-23,7.5,5.37E-23
7.6,5.53E-23,7.6,5.53E-23
7.7,5.69E-23,7.7,5.69E-23
7.8,5.85E-23,7.8,5.85E-23
7.9,6.02E-23,7.9,6.01E-23
8,6.19E-23,8,6.18E-23
8.1,6.36E-23,8.1,6.35E-23
8.2,6.53E-23,8.2,6.53E-23
8.3,6.71E-23,8.3,6.70E-23
8.4,6.89E-23,8.4,6.88E-23
8.5,7.08E-23,8.5,7.07E-23
8.6,7.26E-23,8.6,7.25E-23
8.7,7.45E-23,8.7,7.44E-23
8.8,7.65E-23,8.8,7.64E-23
8.9,7.85E-23,8.9,7.83E-23
9,8.05E-23,9,8.03E-23
9.1,8.25E-23,9.1,8.24E-23
9.2,8.46E-23,9.2,8.44E-23
9.3,8.67E-23,9.3,8.65E-23
9.4,8.89E-23,9.4,8.87E-23
9.5,9.10E-23,9.5,9.09E-23
9.6,9.33E-23,9.6,9.31E-23
9.7,9.55E-23,9.7,9.53E-23
9.8,9.78E-23,9.8,9.76E-23
