Frequency - Filtered (PSD),Amplitude - Filtered (PSD),Frequency - Filtered (PSD),Amplitude - Filtered (PSD)
0,2.34E-22,0,2.34E-22
0.1,4.68E-22,0.1,4.68E-22
0.2,4.68E-22,0.2,4.68E-22
0.3,4.68E-22,0.3,4.68E-22
0.4,4.68E-22,0.4,4.68E-22
0.5,4.69E-22,0.5,4.68E-22
0.6,4.69E-22,0.6,4.68E-22
0.7,4.69E-22,0.7,4.68E-22
0.8,4.69E-22,0.8,4.69E-22
0.9,4.69E-22,0.9,4.69E-22
1,4.69E-22,1,4.69E-22
1.1,4.69E-22,1.1,4.69E-22
1.2,4.70E-22,1.2,4.69E-22
1.3,4.70E-22,1.3,4.70E-22
1.4,4.70E-22,1.4,4.70E-22
1.5,4.70E-22,1.5,4.70E-22
1.6,4.71E-22,1.6,4.70E-22
1.7,4.71E-22,1.7,4.71E-22
1.8,4.71E-22,1.8,4.71E-22
1.9,4.72E-22,1.9,4.71E-22
2,4.72E-22,2,4.72E-22
2.1,4.72E-22,2.1,4.72E-22
2.2,4.73E-22,2.2,4.72E-22
2.3,4.73E-22,2.3,4.73E-22
2.4,4.74E-22,2.4,4.73E-22
2.5,4.74E-22,2.5,4.74E-22
2.6,4.75E-22,2.6,4.74E-22
2.7,4.75E-22,2.7,4.75E-22
2.8,4.76E-22,2.8,4.75E-22
2.9,4.76E-22,2.9,4.76E-22
3,4.77E-22,3,4.76E-22
3.1,4.77E-22,3.1,4.77E-22
3.2,4.78E-22,3.2,4.78E-22
3.3,4.79E-22,3.3,4.78E-22
3.4,4.79E-22,3.4,4.79E-22
3.5,4.80E-22,3.5,4.79E-22
3.6,4.80E-22,3.6,4.80E-22
3.7,4.81E-22,3.7,4.81E-22
3.8,4.82E-22,3.8,4.82E-22
3.9,4.83E-22,3.9,4.82E-22
4,4.83E-22,4,4.83E-22
4.1,4.84E-22,4.1,4.84E-22
4.2,4.85E-22,4.2,4.85E-22
4.3,4.86E-22,4.3,4.85E-22
4.4,4.87E-22,4.4,4.86E-22
4.5,4.87E-22,4.5,4.87E-22
4.6,4.88E-22,4.6,4.88E-22
4.7,4.89E-22,4.7,4.89E-22
4.8,4.90E-22,4.8,4.90E-22
4.9,4.91E-22,4.9,4.91E-22
5,4.92E-22,5,4.92E-22
5.1,4.93E-22,5.1,4.93E-22
5.2,4.94E-22,5.2,4.94E-22
5.3,4.95E-22,5.3,4.95E-22
5.4,4.96E-22,5.4,4.96E-22
5.5,4.97E-22,5.5,4.97E-22
5.6,4.98E-22,5.6,4.98E-22
5.7,4.99E-22,5.7,4.99E-22
5.8,5.01E-22,5.8,5.00E-22
5.9,5.02E-22,5.9,5.01E-22
6,5.03E-22,6,5.02E-22
6.1,5.04E-22,6.1,5.04E-22
6.2,5.05E-22,6.2,5.05E-22
6.3,5.07E-22,6.3,5.06E-22
6.4,5.08E-22,6.4,5.07E-22
6.5,5.09E-22,6.5,5.09E-22
6.6,5.10E-22,6.6,5.10E-22
6.7,5.12E-22,6.7,5.11E-22
6.8,5.13E-22,6.8,5.13E-22
6.9,5.15E-22,6.9,5.14E-22
7,5.16E-22,7,5.16E-22
7.1,5.17E-22,7.1,5.17E-22
7.2,5.19E-22,7.2,5.18E-22
7.3,5.20E-22,7.3,5.20E-22
7.4,5.22E-22,7.4,5.21E-22
7.5,5.23E-22,7.5,5.23E-22
7.6,5.25E-22,7.6,5.25E-22
7.7,5.27E-22,7.7,5.26E-22
7.8,5.28E-22,7.8,5.28E-22
7.9,5.30E-22,7.9,5.29E-22
8,5.32E-22,8,5.31E-22
8.1,5.33E-22,8.1,5.33E-22
8.2,5.35E-22,8.2,5.35E-22
8.3,5.37E-22,8.3,5.36E-22
8.4,5.39E-22,8.4,5.38E-22
8.5,5.40E-22,8.5,5.40E-22
8.6,5.42E-22,8.6,5.42E-22
8.7,5.44E-22,8.7,5.44E-22
8.8,5.46E-22,8.8,5.45E-22
8.9,5.48E-22,8.9,5.47E-22
9,5.50E-22,9,5.49E-22
9.1,5.52E-22,9.1,5.51E-22
9.2,5.54E-22,9.2,5.53E-22
9.3,5.56E-22,9.3,5.55E-22
9.4,5.58E-22,9.4,5.57E-22
9.5,5.60E-22,9.5,5.60E-22
9.6,5.62E-22,9.6,5.62E-22
9.7,5.64E-22,9.7,5.64E-22
9.8,5.67E-22,9.8,5.66E-22
9.9,5.69E-22,9.9,5.68E-22
10,5.71E-22,10,5.71E-22
10.1,5.73E-22,10.1,5.73E-22
10.2,5.76E-22,10.2,5.75E-22
10.3,5.78E-22,10.3,5.77E-22
10.4,5.81E-22,10.4,5.80E-22
10.5,5.83E-22,10.5,5.82E-22
10.6,5.85E-22,10.6,5.85E-22
10.7,5.88E-22,10.7,5.87E-22
10.8,5.90E-22,10.8,5.90E-22
10.9,5.93E-22,10.9,5.92E-22
11,5.96E-22,11,5.95E-22
